On the day 1, the price is $9.58
On the day 2, the price is $9.44
On the day 3, the price is $9.60
On the day 4, the price is $10.44
On the day 5, the price is $10.21
On the day 6, the price is $10.09
On the day 7, the price is $9.98
On the day 8, the price is $9.89
On the day 9, the price is $9.64
On the day 10, the price is $10.31
On the day 11, the price is $10.03
On the day 12, the price is $10.93
On the day 13, the price is $10.92
On the day 14, the price is $10.41
On the day 15, the price is $10.13
On the day 16, the price is $10.71
On the day 17, the price is $10.97
On the day 18, the price is $10.51
On the day 19, the price is $11.12
On the day 20, the price is $11.70
On the day 21, the price is $11.77
On the day 22, the price is $11.71
On the day 23, the price is $11.23
On the day 24, the price is $12.08
On the day 25, the price is $12.08
On the day 26, the price is $13.20
On the day 27, the price is $12.98
On the day 28, the price is $12.78
On the day 29, the price is $12.95
On the day 30, the price is $12.71
On the day 31, the price is $13.95
On the day 32, the price is $14.02
On the day 33, the price is $14.02
On the day 34, the price is $13.65
On the day 35, the price is $13.31
On the day 36, the price is $14.43
On the day 37, the price is $15.25
On the day 38, the price is $14.73
On the day 39, the price is $14.35
On the day 40, the price is $13.98
On the day 41, the price is $14.84
On the day 42, the price is $15.51
On the day 43, the price is $15.13
On the day 44, the price is $14.80
On the day 45, the price is $14.69
On the day 46, the price is $14.24
On the day 47, the price is $14.98
On the day 48, the price is $16.16
On the day 49, the price is $16.77
On the day 50, the price is $17.24
On the day 51, the price is $18.51
On the day 52, the price is $19.68
On the day 53, the price is $19.08
On the day 54, the price is $18.49
On the day 55, the price is $20.10
On the day 56, the price is $22.11
On the day 57, the price is $21.37
On the day 58, the price is $22.75
On the day 59, the price is $23.43
On the day 60, the price is $24.37
On the day 61, the price is $23.92
On the day 62, the price is $22.73
On the day 63, the price is $21.97
On the day 64, the price is $23.61
On the day 65, the price is $22.43
On the day 66, the price is $23.99
On the day 67, the price is $25.57
On the day 68, the price is $27.65
On the day 69, the price is $28.29
On the day 70, the price is $28.51
On the day 71, the price is $27.58
On the day 72, the price is $27.32
On the day 73, the price is $27.03
On the day 74, the price is $26.48
On the day 75, the price is $26.08
On the day 76, the price is $27.98
On the day 77, the price is $26.59
On the day 78, the price is $25.29
On the day 79, the price is $25.73
On the day 80, the price is $27.27
On the day 81, the price is $29.14
On the day 82, the price is $31.54
On the day 83, the price is $34.16
On the day 84, the price is $37.35
On the day 85, the price is $36.94
On the day 86, the price is $39.88
On the day 87, the price is $43.76
On the day 88, the price is $42.48
On the day 89, the price is $41.37
On the day 90, the price is $39.38
On the day 91, the price is $37.51
On the day 92, the price is $38.25
On the day 93, the price is $37.83
On the day 94, the price is $38.12
On the day 95, the price is $37.51
On the day 96, the price is $37.21
On the day 97, the price is $38.68
On the day 98, the price is $37.92
On the day 99, the price is $37.49
On the day 100, the price is $35.77
On the day 101, the price is $35.88
On the day 102, the price is $39.31
On the day 103, the price is $41.37
On the day 104, the price is $40.87
On the day 105, the price is $38.93
On the day 106, the price is $37.97
On the day 107, the price is $39.66
On the day 108, the price is $39.07
On the day 109, the price is $38.96
On the day 110, the price is $38.35
On the day 111, the price is $40.89
On the day 112, the price is $42.30
On the day 113, the price is $40.82
On the day 114, the price is $40.18
On the day 115, the price is $41.75
On the day 116, the price is $44.81
On the day 117, the price is $43.76
On the day 118, the price is $42.02
On the day 119, the price is $42.58
On the day 120, the price is $42.37
On the day 121, the price is $43.72
On the day 122, the price is $45.09
On the day 123, the price is $49.46
On the day 124, the price is $49.11
On the day 125, the price is $47.70
On the day 126, the price is $45.72
On the day 127, the price is $44.19
On the day 128, the price is $45.00
On the day 129, the price is $48.33
On the day 130, the price is $50.34
On the day 131, the price is $50.40
On the day 132, the price is $52.56
On the day 133, the price is $50.89
On the day 134, the price is $51.00
On the day 135, the price is $55.66
On the day 136, the price is $58.75
On the day 137, the price is $60.95
On the day 138, the price is $61.07
On the day 139, the price is $65.15
On the day 140, the price is $66.42
On the day 141, the price is $70.70
On the day 142, the price is $69.80
On the day 143, the price is $68.27
On the day 144, the price is $72.39
On the day 145, the price is $73.92
On the day 146, the price is $76.15
On the day 147, the price is $75.89
On the day 148, the price is $73.20
On the day 149, the price is $77.10
On the day 150, the price is $79.07
On the day 151, the price is $81.71
On the day 152, the price is $78.86
On the day 153, the price is $79.90
On the day 154, the price is $84.83
On the day 155, the price is $92.70
On the day 156, the price is $89.86
On the day 157, the price is $86.06
On the day 158, the price is $86.80
On the day 159, the price is $86.40
On the day 160, the price is $89.08
On the day 161, the price is $88.61
On the day 162, the price is $85.55
On the day 163, the price is $85.25
On the day 164, the price is $84.83
On the day 165, the price is $84.07
On the day 166, the price is $89.16
On the day 167, the price is $94.93
On the day 168, the price is $97.44
On the day 169, the price is $102.25
On the day 170, the price is $109.36
On the day 171, the price is $106.27
On the day 172, the price is $107.61
On the day 173, the price is $113.80
On the day 174, the price is $109.03
On the day 175, the price is $119.77
On the day 176, the price is $118.65
On the day 177, the price is $113.17
On the day 178, the price is $119.02
On the day 179, the price is $117.59
On the day 180, the price is $115.95
On the day 181, the price is $116.00
On the day 182, the price is $111.05
On the day 183, the price is $119.01
On the day 184, the price is $118.51
On the day 185, the price is $113.16
On the day 186, the price is $110.14
On the day 187, the price is $112.37
On the day 188, the price is $117.24
On the day 189, the price is $112.16
On the day 190, the price is $110.85
On the day 191, the price is $112.68
On the day 192, the price is $119.70
On the day 193, the price is $126.81
On the day 194, the price is $129.25
On the day 195, the price is $123.80
On the day 196, the price is $121.78
On the day 197, the price is $122.09
On the day 198, the price is $118.08
On the day 199, the price is $114.25
On the day 200, the price is $110.06
On the day 201, the price is $109.51
On the day 202, the price is $106.23
On the day 203, the price is $113.17
On the day 204, the price is $111.07
On the day 205, the price is $115.67
On the day 206, the price is $123.81
On the day 207, the price is $119.13
On the day 208, the price is $126.24
On the day 209, the price is $121.99
On the day 210, the price is $123.99
On the day 211, the price is $121.66
On the day 212, the price is $118.86
On the day 213, the price is $118.52
On the day 214, the price is $122.32
On the day 215, the price is $126.30
On the day 216, the price is $124.75
On the day 217, the price is $133.78
On the day 218, the price is $130.15
On the day 219, the price is $136.13
On the day 220, the price is $140.91
On the day 221, the price is $142.80
On the day 222, the price is $137.92
On the day 223, the price is $142.66
On the day 224, the price is $153.61
On the day 225, the price is $154.26
On the day 226, the price is $151.52
On the day 227, the price is $158.76
On the day 228, the price is $155.03
On the day 229, the price is $147.72
On the day 230, the price is $147.47
On the day 231, the price is $143.26
On the day 232, the price is $136.49
On the day 233, the price is $130.60
On the day 234, the price is $125.90
On the day 235, the price is $138.45
On the day 236, the price is $151.15
On the day 237, the price is $146.25
On the day 238, the price is $152.92
On the day 239, the price is $147.54
On the day 240, the price is $142.42
On the day 241, the price is $146.79
On the day 242, the price is $158.48
On the day 243, the price is $168.11
On the day 244, the price is $168.85
On the day 245, the price is $179.31
On the day 246, the price is $185.61
On the day 247, the price is $185.47
On the day 248, the price is $182.26
On the day 249, the price is $177.80
On the day 250, the price is $192.63
On the day 251, the price is $202.34
On the day 252, the price is $220.33
On the day 253, the price is $235.46
On the day 254, the price is $224.77
On the day 255, the price is $231.22
On the day 256, the price is $223.67
On the day 257, the price is $222.66
On the day 258, the price is $212.52
On the day 259, the price is $220.41
On the day 260, the price is $210.56
On the day 261, the price is $216.23
On the day 262, the price is $221.38
On the day 263, the price is $211.54
On the day 264, the price is $214.09
On the day 265, the price is $231.63
On the day 266, the price is $229.53
On the day 267, the price is $229.48
On the day 268, the price is $239.87
On the day 269, the price is $230.07
On the day 270, the price is $218.84
On the day 271, the price is $221.65
On the day 272, the price is $214.28
On the day 273, the price is $211.27
On the day 274, the price is $226.13
On the day 275, the price is $240.35
On the day 276, the price is $230.20
On the day 277, the price is $225.66
On the day 278, the price is $219.65
On the day 279, the price is $209.53
On the day 280, the price is $204.16
On the day 281, the price is $224.04
On the day 282, the price is $222.28
On the day 283, the price is $215.35
On the day 284, the price is $209.57
On the day 285, the price is $219.67
On the day 286, the price is $211.17
On the day 287, the price is $206.92
On the day 288, the price is $200.89
On the day 289, the price is $197.53
On the day 290, the price is $200.26
On the day 291, the price is $197.43
On the day 292, the price is $212.19
On the day 293, the price is $225.60
On the day 294, the price is $219.34
On the day 295, the price is $217.01
On the day 296, the price is $215.83
On the day 297, the price is $207.28
On the day 298, the price is $211.37
On the day 299, the price is $210.05
On the day 300, the price is $212.09
On the day 301, the price is $218.73
On the day 302, the price is $213.44
On the day 303, the price is $205.63
On the day 304, the price is $209.25
On the day 305, the price is $209.34
On the day 306, the price is $223.04
On the day 307, the price is $239.37
On the day 308, the price is $227.45
On the day 309, the price is $218.32
On the day 310, the price is $213.13
On the day 311, the price is $208.10
On the day 312, the price is $213.46
On the day 313, the price is $225.52
On the day 314, the price is $247.49
On the day 315, the price is $239.19
On the day 316, the price is $238.77
On the day 317, the price is $231.13
On the day 318, the price is $225.19
On the day 319, the price is $214.08
On the day 320, the price is $222.08
On the day 321, the price is $234.81
On the day 322, the price is $237.73
On the day 323, the price is $230.62
On the day 324, the price is $235.49
On the day 325, the price is $228.61
On the day 326, the price is $226.95
On the day 327, the price is $245.01
On the day 328, the price is $255.86
On the day 329, the price is $247.94
On the day 330, the price is $236.86
On the day 331, the price is $245.37
On the day 332, the price is $254.81
On the day 333, the price is $257.51
On the day 334, the price is $264.20
On the day 335, the price is $288.95
On the day 336, the price is $305.23
On the day 337, the price is $313.83
On the day 338, the price is $310.36
On the day 339, the price is $339.20
On the day 340, the price is $352.13
On the day 341, the price is $347.45
On the day 342, the price is $370.59
On the day 343, the price is $355.52
On the day 344, the price is $355.71
On the day 345, the price is $369.47
On the day 346, the price is $365.82
On the day 347, the price is $389.34
On the day 348, the price is $405.44
On the day 349, the price is $422.44
On the day 350, the price is $407.73
On the day 351, the price is $396.78
On the day 352, the price is $429.72
On the day 353, the price is $416.21
On the day 354, the price is $396.57
On the day 355, the price is $377.78
On the day 356, the price is $363.90
On the day 357, the price is $391.42
On the day 358, the price is $424.04
On the day 359, the price is $427.63
On the day 360, the price is $444.69
On the day 361, the price is $428.45
On the day 362, the price is $407.36
On the day 363, the price is $396.64
On the day 364, the price is $390.42
On the day 365, the price is $419.06
On the day 366, the price is $409.27
On the day 367, the price is $424.57
On the day 368, the price is $436.39
On the day 369, the price is $435.40
On the day 370, the price is $427.12
On the day 371, the price is $451.68
On the day 372, the price is $442.16
On the day 373, the price is $425.81
On the day 374, the price is $412.96
On the day 375, the price is $403.68
On the day 376, the price is $415.12
On the day 377, the price is $408.46
On the day 378, the price is $427.45
On the day 379, the price is $469.94
On the day 380, the price is $496.58
On the day 381, the price is $496.34
On the day 382, the price is $491.35
On the day 383, the price is $521.71
On the day 384, the price is $555.24
On the day 385, the price is $574.29
On the day 386, the price is $628.91
On the day 387, the price is $627.77
On the day 388, the price is $597.95
On the day 389, the price is $601.28
On the day 390, the price is $571.58
On the day 391, the price is $609.92
On the day 392, the price is $665.50
On the day 393, the price is $658.35
On the day 394, the price is $636.77
On the day 395, the price is $661.88
On the day 396, the price is $645.03
On the day 397, the price is $665.91
On the day 398, the price is $704.83
On the day 399, the price is $701.81
On the day 400, the price is $677.83
On the day 401, the price is $661.20
On the day 402, the price is $725.64
On the day 403, the price is $691.72
On the day 404, the price is $716.88
On the day 405, the price is $692.51
On the day 406, the price is $671.51
On the day 407, the price is $650.96
On the day 408, the price is $698.91
On the day 409, the price is $701.71
On the day 410, the price is $755.06
On the day 411, the price is $720.55
On the day 412, the price is $713.74
On the day 413, the price is $758.53
On the day 414, the price is $753.31
On the day 415, the price is $790.24
On the day 416, the price is $857.49
On the day 417, the price is $819.90
On the day 418, the price is $819.49
On the day 419, the price is $778.88
On the day 420, the price is $834.94
On the day 421, the price is $859.68
On the day 422, the price is $876.38
On the day 423, the price is $877.32
On the day 424, the price is $835.71
On the day 425, the price is $917.28
On the day 426, the price is $901.69
On the day 427, the price is $863.36
On the day 428, the price is $922.93
On the day 429, the price is $908.57
On the day 430, the price is $877.25
On the day 431, the price is $880.72
On the day 432, the price is $879.94
On the day 433, the price is $931.09
On the day 434, the price is $915.43
On the day 435, the price is $911.29
On the day 436, the price is $904.03
On the day 437, the price is $878.29
On the day 438, the price is $885.95
On the day 439, the price is $868.65
On the day 440, the price is $913.84
On the day 441, the price is $924.90
On the day 442, the price is $929.50
On the day 443, the price is $903.39
On the day 444, the price is $891.76
On the day 445, the price is $908.09
On the day 446, the price is $881.31
On the day 447, the price is $852.59
On the day 448, the price is $835.38
On the day 449, the price is $814.53
On the day 450, the price is $857.19
On the day 451, the price is $941.91
On the day 452, the price is $942.69
On the day 453, the price is $908.12
On the day 454, the price is $907.17
On the day 455, the price is $904.59
On the day 456, the price is $928.08
On the day 457, the price is $1,005.65
